operation_id,operation_date,region,country,shipment_mode,operation_type,weather_condition,shift,vendor_tier,distance_km,load_factor,load_band,delay_hours,delay_band,operator_experience_years,experience_band,maintenance_score,cost_usd,failure_probability,failed,severity,loss_usd
19,2024-01-01,Africa,South Africa,Ocean,Standard Shipment,Clear,Morning,Tier 1,968.2,0.761,High,26.1,24-48h,6.5,5-10y,78.1,1646.93,0.0111,0,None,0.0
20,2024-01-01,Latin America,Colombia,Air,Emergency Replenishment,Cold,Morning,Tier 2,1131.9,0.84,High,16.1,12-24h,7.7,5-10y,83.1,18382.99,0.0242,0,None,0.0
21,2024-01-01,North America,Mexico,Truck,Cold Chain,Clear,Morning,Tier 3,211.4,0.861,High,24.0,12-24h,1.9,0-2y,94.4,1792.36,0.0304,0,None,0.0
22,2024-01-01,Africa,Nigeria,Truck,Standard Shipment,Clear,Evening,Tier 2,3729.9,0.825,High,19.0,12-24h,5.6,5-10y,74.9,6262.76,0.0151,0,None,0.0
23,2024-01-01,North America,Mexico,Truck,Standard Shipment,Cold,Evening,Tier 1,767.3,0.454,Low,11.6,0-12h,3.4,2-5y,92.8,2050.6,0.0089,0,None,0.0
24,2024-01-01,Latin America,Chile,Ocean,Standard Shipment,Rain,Morning,Tier 1,3587.3,0.478,Low,31.9,24-48h,1.2,0-2y,76.3,2836.35,0.0225,0,None,0.0
25,2024-01-02,Asia,China,Air,Standard Shipment,Clear,Morning,Tier 1,1552.7,0.421,Low,14.1,12-24h,2.8,2-5y,93.3,10326.35,0.0051,0,None,0.0
26,2024-01-02,Asia,China,Truck,Standard Shipment,Clear,Night,Tier 1,2218.9,0.27,Low,13.6,12-24h,3.7,2-5y,75.3,3532.22,0.0121,0,None,0.0
27,2024-01-02,Africa,Nigeria,Truck,Standard Shipment,Storm,Evening,Tier 2,169.3,0.457,Low,38.0,24-48h,4.3,2-5y,82.0,1429.02,0.0418,0,None,0.0
28,2024-01-02,Asia,China,Truck,High Value Cargo,Clear,Morning,Tier 1,1591.1,0.714,Moderate,17.8,12-24h,5.9,5-10y,82.0,4607.26,0.0092,0,None,0.0
29,2024-01-02,North America,USA,Truck,High Value Cargo,Clear,Evening,Tier 1,6092.7,0.881,High,21.0,12-24h,1.9,0-2y,78.1,12900.05,0.0203,0,None,0.0
30,2024-01-02,Latin America,Colombia,Truck,Standard Shipment,Clear,Evening,Tier 1,1691.4,0.577,Low,10.8,0-12h,6.6,5-10y,79.3,2841.69,0.0073,0,None,0.0
31,2024-01-02,North America,Mexico,Truck,Standard Shipment,Clear,Evening,Tier 1,1057.1,0.547,Low,18.4,12-24h,0.7,0-2y,77.0,2398.32,0.0122,0,None,0.0
32,2024-01-02,Asia,China,Air,Standard Shipment,Extreme Heat,Morning,Tier 1,635.0,0.625,Moderate,17.4,12-24h,5.6,5-10y,78.0,4936.03,0.0116,0,None,0.0
33,2024-01-02,Asia,India,Truck,Standard Shipment,Clear,Night,Tier 1,2015.2,0.939,Critical,21.5,12-24h,2.7,2-5y,100.0,4164.15,0.013,0,None,0.0
34,2024-01-02,Asia,China,Air,Standard Shipment,Extreme Heat,Evening,Tier 1,1787.5,0.81,High,14.4,12-24h,1.7,0-2y,88.7,11305.1,0.0129,0,None,0.0
35,2024-01-02,Africa,Nigeria,Truck,Standard Shipment,Rain,Morning,Tier 1,381.1,0.297,Low,25.2,24-48h,5.6,5-10y,78.4,1419.65,0.012,0,None,0.0
36,2024-01-02,Europe,Germany,Air,Cold Chain,Clear,Evening,Tier 1,413.1,0.681,Moderate,12.3,12-24h,7.0,5-10y,74.7,5153.79,0.0112,0,None,0.0
37,2024-01-02,Latin America,Brazil,Truck,High Value Cargo,Clear,Night,Tier 2,659.0,0.602,Moderate,11.2,0-12h,6.6,5-10y,66.0,2332.42,0.021,0,None,0.0
38,2024-01-02,Asia,China,Truck,Standard Shipment,Clear,Evening,Tier 1,719.7,0.745,Moderate,19.6,12-24h,1.2,0-2y,100.0,1794.85,0.0069,0,None,0.0
39,2024-01-02,Africa,South Africa,Air,Hazardous Goods,Rain,Morning,Tier 2,639.5,0.79,High,20.2,12-24h,2.3,2-5y,97.9,8644.43,0.0177,0,None,0.0
40,2024-01-02,Africa,South Africa,Air,High Value Cargo,Clear,Night,Tier 1,627.5,0.759,High,15.9,12-24h,3.5,2-5y,100.0,6972.19,0.0075,0,None,0.0
41,2024-01-02,Asia,India,Truck,Standard Shipment,Rain,Night,Tier 2,1906.0,0.745,Moderate,20.7,12-24h,1.9,0-2y,83.9,3621.69,0.0213,0,None,0.0
42,2024-01-02,Asia,China,Truck,Standard Shipment,Clear,Evening,Tier 1,1360.8,0.636,Moderate,15.0,12-24h,11.9,10y+,95.9,2902.74,0.0039,0,None,0.0
43,2024-01-02,Latin America,Chile,Truck,Standard Shipment,Clear,Morning,Tier 2,2075.2,0.853,High,27.6,24-48h,0.2,0-2y,98.5,4040.76,0.0127,0,None,0.0
44,2024-01-02,Latin America,Chile,Truck,High Value Cargo,Clear,Morning,Tier 3,1055.4,0.891,High,18.2,12-24h,3.5,2-5y,89.5,3455.28,0.0249,0,None,0.0
45,2024-01-02,Africa,South Africa,Air,Standard Shipment,Clear,Morning,Tier 2,4007.0,0.827,High,8.5,0-12h,5.0,2-5y,82.9,24212.29,0.008,0,None,0.0
46,2024-01-02,Europe,Germany,Air,Standard Shipment,Clear,Night,Tier 2,1423.7,0.623,Moderate,5.5,0-12h,9.5,5-10y,82.6,9247.25,0.0071,0,None,0.0
47,2024-01-02,Asia,China,Truck,Standard Shipment,Storm,Morning,Tier 2,2061.4,0.651,Moderate,29.5,24-48h,1.5,0-2y,80.0,3795.25,0.0391,0,None,0.0
48,2024-01-02,Africa,Nigeria,Truck,Standard Shipment,Clear,Morning,Tier 1,889.2,0.862,High,16.4,12-24h,7.3,5-10y,69.7,1918.36,0.0113,0,None,0.0
49,2024-01-03,North America,USA,Air,Cold Chain,Cold,Evening,Tier 3,313.7,0.69,Moderate,10.0,0-12h,2.5,2-5y,77.5,3862.69,0.0364,0,None,0.0
50,2024-01-03,North America,USA,Air,Standard Shipment,Clear,Morning,Tier 2,1650.4,0.86,High,17.7,12-24h,4.6,2-5y,99.0,11013.21,0.0072,0,None,0.0
51,2024-01-03,Latin America,Brazil,Truck,Standard Shipment,Extreme Heat,Morning,Tier 2,45.0,0.578,Low,24.6,24-48h,4.0,2-5y,81.8,1103.7,0.0204,0,None,0.0
52,2024-01-03,Asia,India,Truck,Cold Chain,Clear,Morning,Tier 1,1018.0,0.814,High,30.6,24-48h,1.2,0-2y,92.3,3961.61,0.016,0,None,0.0
53,2024-01-03,Africa,South Africa,Ocean,Hazardous Goods,Clear,Morning,Tier 1,1077.9,0.913,Critical,27.6,24-48h,6.7,5-10y,89.0,2344.99,0.0245,0,None,0.0
54,2024-01-03,Latin America,Colombia,Rail,Standard Shipment,Clear,Evening,Tier 2,723.5,0.834,High,21.2,12-24h,4.7,2-5y,68.0,1538.48,0.0189,0,None,0.0
55,2024-01-03,Asia,China,Truck,Hazardous Goods,Clear,Morning,Tier 3,952.7,0.996,Critical,30.2,24-48h,5.4,5-10y,83.8,3651.29,0.0635,0,None,0.0
56,2024-01-03,North America,Mexico,Air,High Value Cargo,Extreme Heat,Evening,Tier 1,2590.7,0.595,Low,20.9,12-24h,1.7,0-2y,82.0,24929.22,0.0199,0,None,0.0
57,2024-01-03,North America,Mexico,Air,High Value Cargo,Clear,Night,Tier 2,1262.8,0.853,High,9.5,0-12h,4.0,2-5y,71.7,13118.42,0.0216,0,None,0.0
58,2024-01-03,North America,Mexico,Truck,Standard Shipment,Rain,Night,Tier 2,981.1,0.657,Moderate,12.2,12-24h,3.0,2-5y,75.2,2279.26,0.0213,0,None,0.0
59,2024-01-03,Europe,Netherlands,Air,Cold Chain,Clear,Evening,Tier 1,457.7,0.816,High,13.4,12-24h,1.6,0-2y,89.4,6134.52,0.0119,0,None,0.0
60,2024-01-03,North America,Mexico,Air,Standard Shipment,Clear,Evening,Tier 1,1715.4,0.88,High,20.8,12-24h,1.9,0-2y,59.5,11599.52,0.0211,0,None,0.0
61,2024-01-03,North America,Canada,Air,Standard Shipment,Clear,Night,Tier 1,1974.8,0.541,Low,8.3,0-12h,2.7,2-5y,62.0,12192.58,0.0137,0,None,0.0
62,2024-01-03,North America,USA,Rail,Standard Shipment,Extreme Heat,Night,Tier 1,1691.1,0.892,High,26.9,24-48h,0.3,0-2y,72.5,2750.36,0.0445,0,None,0.0
63,2024-01-03,Asia,China,Ocean,Standard Shipment,Extreme Heat,Morning,Tier 1,2402.4,0.8,High,36.1,24-48h,3.0,2-5y,80.4,2613.68,0.0276,0,None,0.0
64,2024-01-03,Asia,India,Ocean,Standard Shipment,Extreme Heat,Evening,Tier 1,77.0,0.836,High,26.7,24-48h,2.3,2-5y,100.0,1311.14,0.0189,0,None,0.0
65,2024-01-03,Europe,Germany,Truck,Standard Shipment,Storm,Night,Tier 2,166.9,0.642,Moderate,38.8,24-48h,1.8,0-2y,100.0,1491.64,0.038,0,None,0.0
66,2024-01-03,North America,Mexico,Ocean,Cold Chain,Clear,Morning,Tier 1,1231.7,0.823,High,27.6,24-48h,2.6,2-5y,78.5,2028.52,0.0254,1,Medium,1055.18
67,2024-01-03,Asia,India,Air,Standard Shipment,Extreme Heat,Night,Tier 2,960.1,0.755,High,11.6,0-12h,4.4,2-5y,99.2,6986.99,0.012,0,None,0.0
68,2024-01-03,Latin America,Colombia,Ocean,High Value Cargo,Clear,Evening,Tier 3,3054.3,0.915,Critical,32.9,24-48h,5.2,5-10y,68.4,4450.82,0.0728,0,None,0.0
69,2024-01-03,Europe,Germany,Truck,Hazardous Goods,Storm,Night,Tier 2,2764.7,0.713,Moderate,36.4,24-48h,4.5,2-5y,63.8,8131.62,0.1339,0,None,0.0
70,2024-01-03,Asia,India,Air,Standard Shipment,Rain,Morning,Tier 2,502.0,0.551,Low,15.3,12-24h,11.7,10y+,73.6,3956.59,0.009,0,None,0.0
71,2024-01-03,Asia,India,Truck,Standard Shipment,Storm,Morning,Tier 2,607.7,0.865,High,30.5,24-48h,9.4,5-10y,82.0,1839.16,0.0321,0,None,0.0
72,2024-01-03,Asia,India,Truck,Standard Shipment,Cold,Morning,Tier 2,1943.6,0.9,Critical,24.1,24-48h,5.1,5-10y,82.2,3664.38,0.0224,0,None,0.0
73,2024-01-04,Africa,Nigeria,Rail,Cold Chain,Clear,Evening,Tier 2,352.0,0.889,High,28.9,24-48h,4.9,2-5y,93.1,2222.51,0.0219,0,None,0.0
74,2024-01-04,Africa,South Africa,Truck,Standard Shipment,Clear,Morning,Tier 2,1118.4,0.414,Low,10.2,0-12h,5.7,5-10y,85.7,2369.86,0.0076,0,None,0.0
75,2024-01-04,Latin America,Chile,Rail,Standard Shipment,Clear,Morning,Tier 2,2407.6,0.844,High,25.2,24-48h,4.9,2-5y,74.5,3591.28,0.0157,0,None,0.0
76,2024-01-04,Latin America,Brazil,Air,High Value Cargo,Rain,Night,Tier 1,2385.6,0.954,Critical,17.1,12-24h,4.6,2-5y,91.0,23505.51,0.0202,0,None,0.0
77,2024-01-04,Asia,China,Air,Standard Shipment,Clear,Morning,Tier 1,1884.3,0.869,High,10.5,0-12h,7.2,5-10y,79.2,12479.65,0.007,0,None,0.0
78,2024-01-04,Europe,Germany,Truck,Standard Shipment,Clear,Night,Tier 3,855.5,0.504,Low,15.0,12-24h,6.8,5-10y,85.2,1812.97,0.0167,0,None,0.0
79,2024-01-04,Asia,India,Ocean,Standard Shipment,Clear,Morning,Tier 1,3858.3,0.702,Moderate,29.5,24-48h,3.9,2-5y,77.4,3105.76,0.0138,1,Low,534.04
80,2024-01-04,North America,Canada,Truck,Standard Shipment,Clear,Morning,Tier 1,778.3,0.859,High,13.1,12-24h,11.2,10y+,74.4,1909.45,0.0076,0,None,0.0
81,2024-01-04,Africa,South Africa,Truck,Standard Shipment,Storm,Evening,Tier 1,2029.5,0.791,High,31.6,24-48h,7.5,5-10y,88.7,3585.75,0.0211,0,None,0.0
82,2024-01-04,Latin America,Brazil,Air,Standard Shipment,Clear,Night,Tier 1,627.8,0.879,High,15.5,12-24h,3.7,2-5y,64.0,4569.64,0.0189,0,None,0.0
83,2024-01-04,North America,Mexico,Truck,Standard Shipment,Rain,Morning,Tier 3,406.1,0.711,Moderate,24.3,24-48h,1.9,0-2y,85.6,2149.01,0.0244,0,None,0.0
84,2024-01-04,North America,Mexico,Truck,Standard Shipment,Clear,Evening,Tier 2,258.8,0.351,Low,18.9,12-24h,1.4,0-2y,94.2,1143.08,0.0102,0,None,0.0
85,2024-01-04,Latin America,Chile,Air,Standard Shipment,Cold,Morning,Tier 1,756.5,0.81,High,26.8,24-48h,0.5,0-2y,92.1,6217.55,0.0115,0,None,0.0
86,2024-01-04,Africa,Nigeria,Truck,Standard Shipment,Rain,Evening,Tier 3,3943.1,0.777,High,23.3,12-24h,2.4,2-5y,76.8,5988.16,0.0325,0,None,0.0
87,2024-01-04,Latin America,Brazil,Air,High Value Cargo,Cold,Morning,Tier 2,1117.7,0.987,Critical,38.3,24-48h,3.1,2-5y,57.2,11935.13,0.0802,0,None,0.0
88,2024-01-04,Africa,South Africa,Truck,Standard Shipment,Rain,Night,Tier 3,755.9,0.754,High,21.7,12-24h,2.3,2-5y,100.0,1870.31,0.022,0,None,0.0
89,2024-01-04,Latin America,Colombia,Air,Cold Chain,Clear,Evening,Tier 1,3073.1,0.925,Critical,10.0,0-12h,14.1,10y+,97.9,32000.55,0.0064,0,None,0.0
90,2024-01-04,Asia,India,Ocean,High Value Cargo,Clear,Morning,Tier 2,1085.0,0.792,High,23.0,12-24h,1.4,0-2y,89.8,2400.39,0.0182,0,None,0.0
91,2024-01-04,North America,Canada,Truck,Cold Chain,Clear,Evening,Tier 2,412.5,0.571,Low,9.7,0-12h,6.1,5-10y,80.1,1613.12,0.0153,0,None,0.0
92,2024-01-04,Europe,Netherlands,Air,High Value Cargo,Clear,Night,Tier 1,2497.7,0.927,Critical,31.2,24-48h,1.0,0-2y,72.3,24838.34,0.0348,0,None,0.0
93,2024-01-04,Europe,Germany,Truck,Standard Shipment,Clear,Evening,Tier 1,844.5,0.962,Critical,21.7,12-24h,9.0,5-10y,86.3,2783.69,0.0115,0,None,0.0
94,2024-01-04,Latin America,Brazil,Truck,High Value Cargo,Extreme Heat,Evening,Tier 2,847.8,0.979,Critical,27.8,24-48h,1.5,0-2y,96.2,3394.22,0.0452,0,None,0.0
95,2024-01-04,North America,Mexico,Truck,Emergency Replenishment,Clear,Night,Tier 1,1501.5,0.515,Low,13.5,12-24h,17.6,10y+,75.7,5488.13,0.0118,0,None,0.0
96,2024-01-04,North America,Mexico,Truck,Standard Shipment,Clear,Morning,Tier 1,1209.2,0.86,High,22.5,12-24h,1.6,0-2y,58.3,2669.27,0.0225,0,None,0.0
97,2024-01-05,Latin America,Chile,Truck,Standard Shipment,Clear,Evening,Tier 2,1018.5,0.717,Moderate,8.9,0-12h,2.0,0-2y,82.4,2011.38,0.0111,0,None,0.0
98,2024-01-05,Asia,China,Truck,High Value Cargo,Clear,Morning,Tier 2,1885.7,1.03,Critical,19.3,12-24h,4.1,2-5y,70.0,4556.28,0.0391,0,None,0.0
99,2024-01-05,Asia,China,Truck,Standard Shipment,Clear,Night,Tier 1,1118.4,0.999,Critical,23.5,12-24h,4.5,2-5y,93.2,2852.84,0.0174,0,None,0.0
100,2024-01-05,Latin America,Colombia,Truck,Standard Shipment,Extreme Heat,Evening,Tier 2,2217.3,0.707,Moderate,16.7,12-24h,5.1,5-10y,74.9,3719.15,0.0223,0,None,0.0
101,2024-01-05,Europe,Germany,Truck,Cold Chain,Clear,Morning,Tier 2,446.4,0.722,Moderate,8.0,0-12h,4.8,2-5y,81.5,1746.72,0.0137,0,None,0.0
102,2024-01-05,Latin America,Colombia,Ocean,Emergency Replenishment,Rain,Evening,Tier 2,895.6,0.724,Moderate,35.1,24-48h,5.5,5-10y,89.3,2454.52,0.0422,0,None,0.0
103,2024-01-05,North America,USA,Truck,Standard Shipment,Clear,Night,Tier 3,1219.2,0.796,High,8.6,0-12h,3.1,2-5y,78.1,2727.25,0.0228,0,None,0.0
104,2024-01-05,Latin America,Brazil,Air,Standard Shipment,Clear,Morning,Tier 1,1018.8,0.492,Low,4.2,0-12h,11.6,10y+,81.4,7095.26,0.0035,0,None,0.0
105,2024-01-05,Asia,India,Rail,Standard Shipment,Clear,Morning,Tier 1,2050.5,0.489,Low,13.7,12-24h,8.0,5-10y,93.5,3000.68,0.0042,0,None,0.0
106,2024-01-05,Africa,South Africa,Ocean,Hazardous Goods,Rain,Night,Tier 2,447.8,0.565,Low,31.8,24-48h,2.8,2-5y,80.4,1811.64,0.0623,0,None,0.0
107,2024-01-05,Europe,Germany,Truck,Standard Shipment,Clear,Evening,Tier 1,1104.3,0.785,High,11.0,0-12h,7.7,5-10y,78.9,2511.68,0.0071,0,None,0.0
108,2024-01-05,Africa,Nigeria,Ocean,Cold Chain,Clear,Night,Tier 1,489.7,0.876,High,32.0,24-48h,2.6,2-5y,61.3,2175.95,0.0658,0,None,0.0
109,2024-01-05,North America,USA,Air,Standard Shipment,Rain,Night,Tier 1,1048.7,0.277,Low,21.7,12-24h,1.9,0-2y,100.0,6840.91,0.0093,0,None,0.0
110,2024-01-05,Latin America,Colombia,Ocean,Standard Shipment,Cold,Night,Tier 3,374.7,0.898,High,49.2,48h+,1.0,0-2y,75.7,1666.28,0.1238,0,None,0.0
111,2024-01-05,Asia,India,Air,Emergency Replenishment,Clear,Morning,Tier 1,996.3,0.692,Moderate,15.5,12-24h,2.8,2-5y,54.6,16154.24,0.0282,0,None,0.0
112,2024-01-05,Asia,India,Ocean,Emergency Replenishment,Storm,Evening,Tier 2,1438.6,1.003,Critical,64.7,48h+,1.9,0-2y,77.8,3827.52,0.322,1,High,3511.46
113,2024-01-05,Latin America,Brazil,Truck,Hazardous Goods,Extreme Heat,Evening,Tier 2,458.8,0.782,High,44.7,24-48h,4.5,2-5y,71.3,2406.38,0.0759,0,None,0.0
114,2024-01-05,Asia,India,Ocean,Standard Shipment,Clear,Morning,Tier 3,662.9,0.418,Low,20.5,12-24h,12.0,10y+,85.8,1285.53,0.0125,0,None,0.0
115,2024-01-05,North America,Canada,Truck,Hazardous Goods,Rain,Evening,Tier 2,658.1,0.78,High,19.3,12-24h,1.0,0-2y,100.0,2282.1,0.0228,0,None,0.0
116,2024-01-05,Africa,Nigeria,Ocean,Emergency Replenishment,Clear,Night,Tier 2,985.9,0.78,High,30.7,24-48h,7.3,5-10y,100.0,2931.91,0.0254,0,None,0.0
117,2024-01-05,Africa,Nigeria,Air,Standard Shipment,Rain,Night,Tier 3,991.9,0.585,Low,10.4,0-12h,5.0,2-5y,87.5,6820.95,0.0179,0,None,0.0
118,2024-01-05,Europe,Netherlands,Ocean,High Value Cargo,Clear,Morning,Tier 1,1151.6,0.479,Low,25.8,24-48h,8.7,5-10y,67.2,2025.85,0.0164,0,None,0.0
119,2024-01-05,North America,Mexico,Air,Standard Shipment,Extreme Heat,Evening,Tier 1,751.1,0.608,Moderate,17.4,12-24h,4.6,2-5y,76.7,5338.65,0.0142,0,None,0.0
120,2024-01-05,North America,Mexico,Truck,Standard Shipment,Rain,Night,Tier 2,134.6,0.934,Critical,31.7,24-48h,2.6,2-5y,92.1,1879.8,0.0324,0,None,0.0
121,2024-01-06,Africa,Nigeria,Air,Standard Shipment,Extreme Heat,Evening,Tier 1,454.5,0.644,Moderate,19.0,12-24h,1.2,0-2y,80.3,3148.78,0.0161,0,None,0.0
122,2024-01-06,Europe,Germany,Air,Emergency Replenishment,Rain,Morning,Tier 1,194.9,0.96,Critical,33.6,24-48h,3.8,2-5y,80.1,4489.33,0.0444,0,None,0.0
123,2024-01-06,Latin America,Brazil,Air,Standard Shipment,Rain,Night,Tier 1,2680.2,0.824,High,16.5,12-24h,2.2,2-5y,86.9,17310.85,0.0133,0,None,0.0
124,2024-01-06,Africa,South Africa,Air,Standard Shipment,Rain,Morning,Tier 1,2406.6,0.711,Moderate,17.0,12-24h,7.6,5-10y,100.0,15008.57,0.0046,0,None,0.0
125,2024-01-06,North America,USA,Truck,Emergency Replenishment,Extreme Heat,Evening,Tier 2,395.8,0.6,Moderate,22.7,12-24h,4.5,2-5y,92.1,2104.24,0.0348,0,None,0.0
126,2024-01-06,Africa,Nigeria,Air,Standard Shipment,Storm,Evening,Tier 3,742.6,0.761,High,28.2,24-48h,6.8,5-10y,92.9,5452.6,0.0308,0,None,0.0
127,2024-01-06,Asia,India,Rail,Standard Shipment,Rain,Night,Tier 2,877.3,0.353,Low,31.2,24-48h,7.5,5-10y,95.6,1751.86,0.0134,0,None,0.0
128,2024-01-06,Africa,South Africa,Truck,Standard Shipment,Clear,Morning,Tier 1,2334.8,0.968,Critical,26.0,24-48h,2.4,2-5y,55.7,4209.27,0.0338,0,None,0.0
129,2024-01-06,North America,Canada,Truck,Standard Shipment,Clear,Night,Tier 1,1192.7,0.703,Moderate,13.5,12-24h,1.4,0-2y,90.4,2827.05,0.0094,0,None,0.0
130,2024-01-06,Latin America,Colombia,Truck,Cold Chain,Clear,Morning,Tier 1,2880.3,0.847,High,23.4,12-24h,3.0,2-5y,97.6,7607.32,0.0124,0,None,0.0
131,2024-01-06,North America,Mexico,Truck,High Value Cargo,Rain,Evening,Tier 1,1519.6,0.743,Moderate,20.6,12-24h,2.6,2-5y,90.7,4097.36,0.0138,0,None,0.0
132,2024-01-06,North America,USA,Ocean,Standard Shipment,Clear,Evening,Tier 2,1996.1,0.39,Low,21.5,12-24h,4.0,2-5y,88.1,1646.48,0.0136,0,None,0.0
133,2024-01-06,Latin America,Brazil,Ocean,Standard Shipment,Clear,Night,Tier 2,940.5,0.666,Moderate,26.7,24-48h,2.9,2-5y,80.2,1722.95,0.0233,0,None,0.0
134,2024-01-06,Asia,China,Truck,Standard Shipment,Clear,Morning,Tier 2,2465.3,0.789,High,15.6,12-24h,12.1,10y+,87.3,4122.82,0.0058,0,None,0.0
135,2024-01-06,North America,USA,Truck,Standard Shipment,Storm,Night,Tier 2,1538.4,0.622,Moderate,31.2,24-48h,2.9,2-5y,65.3,3417.05,0.0717,0,None,0.0
136,2024-01-06,Africa,Nigeria,Air,High Value Cargo,Cold,Night,Tier 1,890.0,0.459,Low,7.9,0-12h,2.8,2-5y,73.7,8785.69,0.0183,0,None,0.0
137,2024-01-06,Asia,China,Air,High Value Cargo,Clear,Evening,Tier 2,581.0,0.729,Moderate,6.6,0-12h,5.4,5-10y,53.0,6064.92,0.0198,0,None,0.0
138,2024-01-06,Africa,Nigeria,Air,Standard Shipment,Extreme Heat,Evening,Tier 1,479.8,0.9,High,16.2,12-24h,5.6,5-10y,71.0,4412.66,0.0219,0,None,0.0
139,2024-01-06,Asia,India,Truck,Hazardous Goods,Clear,Evening,Tier 1,297.8,0.735,Moderate,27.1,24-48h,7.3,5-10y,75.5,1742.55,0.0196,0,None,0.0
140,2024-01-06,Europe,Netherlands,Truck,Standard Shipment,Clear,Night,Tier 3,728.6,0.955,Critical,22.3,12-24h,1.4,0-2y,67.5,2363.15,0.0654,0,None,0.0
141,2024-01-06,Asia,China,Air,Hazardous Goods,Storm,Night,Tier 1,467.9,0.839,High,25.4,24-48h,4.7,2-5y,78.3,6473.92,0.0627,0,None,0.0
142,2024-01-06,Africa,Nigeria,Air,Standard Shipment,Extreme Heat,Night,Tier 2,2049.5,0.788,High,23.3,12-24h,6.8,5-10y,62.0,13536.37,0.033,0,None,0.0
143,2024-01-06,North America,USA,Truck,Standard Shipment,Clear,Evening,Tier 1,765.7,0.906,Critical,26.0,24-48h,2.5,2-5y,80.4,2434.3,0.0171,0,None,0.0
144,2024-01-06,North America,USA,Air,Hazardous Goods,Clear,Night,Tier 1,661.1,0.638,Moderate,22.6,12-24h,1.9,0-2y,76.0,8403.74,0.0247,0,None,0.0
145,2024-01-07,North America,Mexico,Truck,Cold Chain,Storm,Evening,Tier 1,581.4,0.914,Critical,44.9,24-48h,2.2,2-5y,80.3,2574.17,0.0968,0,None,0.0
